row,gender,Insurer,risk,with name?,state,coverage,duration,Compensation,Medical fee per incident,Medical fee in period,Franchise percentage,Minimum franchise,previous period,History of damage?,Bachelor's calculation?,Total premium?,Risk percentage,churn
1,male,person,risky,no,Hormozgan,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,2337406,0,no
2,male,person,low risk,no,Hormozgan,annually,365,4560000000,20000000,60000000,0,0,yes,no,no,1728012,0,yes
3,male,person,risky,no,Ilam,daily,60,4560000000,10000000,30000000,5,250000,no,no,no,1152220,0,no
4,male,person,low risk,no,South Khorasan,annually,365,4560000000,10000000,30000000,5,250000,yes,no,no,2330516,0,yes
5,male,person,risky,yes,Razavi Khorasan,annually,365,4560000000,10000000,30000000,5,250000,no,no,no,6988686,20,no
6,male,person,moderate risk,yes,Zanjan,daily,60,3040000000,30000000,60000000,5,300000,no,no,no,1721758,0,no
7,male,person,low risk,no,Mazandaran,annually,365,3040000000,30000000,60000000,5,250000,yes,no,no,4164952,0,yes
8,male,person,moderate risk,no,Isfahan,annually,365,4560000000,20000000,60000000,5,250000,no,no,no,6080266,0,no
9,male,person,risky,no,Tehran,short term,30,3040000000,25000000,50000000,5,250000,no,no,no,3410868,0,no
10,male,company,moderate risk,no,Markazi,annually,365,4560000000,30000000,90000000,5,250000,yes,no,no,14772372,0,yes
11,male,person,moderate risk,no,Razavi Khorasan,annually,365,1520000000,10000000,10000000,5,250000,no,no,no,2534566,0,no
12,male,person,moderate risk,no,Hormozgan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,6085672,0,yes
13,male,person,risky,no,Hormozgan,annually,365,3040000000,50000000,100000000,5,250000,no,no,no,6091502,0,no
14,male,person,risky,no,Mazandaran,annually,365,3040000000,20000000,40000000,0,0,no,no,no,14802370,0,no
15,male,person,low risk,no,Razavi Khorasan,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,1284932,0,no
16,male,person,low risk,no,Fars,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,1079292,0,no
17,male,person,moderate risk,no,Tehran,annually,365,4560000000,50000000,150000000,5,250000,yes,no,no,10402734,0,yes
18,female,company,low risk,no,Isfahan,annually,365,1520000000,10000000,10000000,5,250000,no,no,no,4797984,0,no
19,male,person,moderate risk,yes,Isfahan,short term,364,3040000000,20000000,40000000,0,0,yes,no,no,13529310,0,no
20,male,company,risky,no,Tehran,daily,108,3040000000,20000000,40000000,5,250000,yes,no,no,17885274,0,yes
21,male,person,moderate risk,no,Qom,short term,90,3040000000,20000000,40000000,0,0,no,no,no,4183608,0,no
22,male,person,risky,no,Qazvin,daily,181,3040000000,30000000,60000000,5,250000,no,no,no,4509240,0,no
23,male,person,moderate risk,no,South Khorasan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,4172160,0,yes
24,male,person,moderate risk,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,no,no,no,1060000,0,no
25,male,person,risky,no,Isfahan,annually,365,3040000000,10000000,20000000,5,500000,no,no,no,3625518,0,no
26,male,person,low risk,no,Tehran,annually,365,4560000000,20000000,60000000,5,250000,no,no,no,14592066,0,no
27,male,person,risky,no,Semnan,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,6635600,30,no
28,male,person,risky,no,Qom,annually,365,4560000000,100000000,300000000,0,0,no,no,no,11913552,0,no
29,male,person,risky,no,Qazvin,daily,90,4560000000,50000000,150000000,10,250000,no,no,no,6108886,0,no
30,male,person,moderate risk,no,Tehran,annually,365,4560000000,20000000,60000000,5,250000,no,no,no,3610466,0,no
31,male,company,moderate risk,no,Khuzestan,daily,119,6080000000,30000000,120000000,5,250000,no,no,no,6807638,0,no
32,male,company,moderate risk,no,Markazi,short term,212,3040000000,10000000,20000000,5,250000,yes,no,no,2785362,0,yes
